lat,lon,month,dissolved_oxygen
20.0,-20.0,3,167.06010344827587
25.0,-95.0,3,183.4116551724138
25.0,-90.0,3,178.49503448275857
25.0,-85.0,3,182.10672413793102
25.0,-80.0,3,197.17093103448278
25.0,-75.0,3,210.38820689655174
25.0,-70.0,3,210.43300000000002
25.0,-65.0,3,213.00258620689658
25.0,-60.0,3,209.19893103448274
25.0,-55.0,3,213.98875862068968
25.0,-50.0,3,217.98119047619045
25.0,-45.0,3,215.63420689655172
25.0,-40.0,3,214.7162068965517
25.0,-35.0,3,218.16744827586203
25.0,-30.0,3,221.72796551724133
25.0,-25.0,3,224.5619310344827
25.0,-20.0,3,226.54144827586208
25.0,-15.0,3,226.13472413793104
30.0,-80.0,3,203.85462068965518
30.0,-75.0,3,222.33641379310345
30.0,-70.0,3,224.24748275862072
30.0,-65.0,3,223.9784827586207
30.0,-60.0,3,225.79110344827586
30.0,-55.0,3,225.02268965517243
30.0,-50.0,3,224.14235714285715
30.0,-40.0,3,224.76210344827584
30.0,-35.0,3,221.49320689655173
30.0,-30.0,3,222.5883793103448
30.0,-25.0,3,227.65879310344832
30.0,-20.0,3,229.50158620689655
30.0,-15.0,3,229.90693103448277
30.0,-10.0,3,230.310724137931
-15.0,-100.0,4,173.3570689655173
-15.0,-95.0,4,137.68537931034484
-15.0,-90.0,4,133.55658620689655
-15.0,-85.0,4,122.2302068965517
-15.0,-80.0,4,43.45986206896552
-15.0,-40.0,4,193.69089655172414
-15.0,-35.0,4,190.50524137931038
-15.0,-30.0,4,195.4596206896552
-15.0,-25.0,4,188.4393448275862
-15.0,-20.0,4,191.15382758620692
-15.0,-10.0,4,174.5222
-15.0,-5.0,4,163.4473103448276
-10.0,-100.0,4,105.8090344827586
-10.0,-95.0,4,95.02668965517242
-10.0,-90.0,4,73.96841379310344
-10.0,-85.0,4,80.72210344827587
-10.0,-80.0,4,74.411
-10.0,-35.0,4,184.6411724137931
-10.0,-30.0,4,172.46951724137926
-10.0,-25.0,4,178.69013793103446
-10.0,-20.0,4,176.5763103448276
-10.0,-15.0,4,164.15589655172417
-10.0,-10.0,4,152.1813793103448
-10.0,-5.0,4,145.25
-5.0,-100.0,4,92.07196551724138
-5.0,-95.0,4,113.7791724137931
-5.0,-90.0,4,96.55837931034482
-5.0,-85.0,4,87.42144827586208
-5.0,-45.0,4,188.04262068965514
-5.0,-40.0,4,181.97024137931038
-5.0,-35.0,4,171.73568965517237
-5.0,-30.0,4,158.15927586206897
-5.0,-25.0,4,165.45737931034483
-5.0,-20.0,4,165.98575862068967
-5.0,-15.0,4,167.87815384615385
-5.0,-10.0,4,166.6173103448276
-5.0,-5.0,4,149.71179310344826
0.0,-100.0,4,113.66027586206897
0.0,-95.0,4,126.10606896551724
0.0,-90.0,4,110.07351724137934
0.0,-85.0,4,86.9675
0.0,-80.0,4,175.0970625
0.0,-50.0,4,188.4669310344828
0.0,-45.0,4,192.9737586206897
0.0,-40.0,4,183.4063448275862
0.0,-35.0,4,172.54955172413793
0.0,-30.0,4,157.30886206896554
0.0,-25.0,4,163.02206896551726
0.0,-20.0,4,158.49558620689652
0.0,-15.0,4,164.90250000000003
0.0,-10.0,4,149.82872413793103
0.0,-5.0,4,146.2840344827586
5.0,-100.0,4,104.33820689655171
5.0,-95.0,4,82.19568965517242
5.0,-90.0,4,89.39858620689654
5.0,-85.0,4,182.4224137931035
5.0,-80.0,4,185.915
5.0,-60.0,4,172.57868965517238
5.0,-55.0,4,178.54813793103452
5.0,-50.0,4,183.49227586206894
5.0,-45.0,4,184.36241379310343
5.0,-40.0,4,180.2477931034483
5.0,-35.0,4,176.47775862068968
5.0,-30.0,4,147.57693103448275
5.0,-25.0,4,138.26706896551724
5.0,-20.0,4,124.77844827586206
5.0,-15.0,4,133.2197037037037
10.0,-100.0,4,99.11741379310345
10.0,-95.0,4,83.70406896551722
10.0,-90.0,4,82.69086206896553
10.0,-85.0,4,179.11689655172412
10.0,-80.0,4,185.90524137931038
10.0,-75.0,4,169.71717241379307
10.0,-70.0,4,175.73720689655173
10.0,-65.0,4,176.38086206896548
10.0,-60.0,4,179.94213793103452
10.0,-55.0,4,182.50703448275866
10.0,-50.0,4,187.14137931034483
10.0,-45.0,4,182.17931034482757
10.0,-40.0,4,182.27006896551725
10.0,-35.0,4,168.82224137931038
10.0,-30.0,4,150.44572413793105
10.0,-25.0,4,128.07431034482758
10.0,-20.0,4,108.93868965517242
15.0,-100.0,4,110.74931034482759
15.0,-95.0,4,158.11355172413792
15.0,-90.0,4,193.44644827586205
15.0,-85.0,4,189.7653103448276
15.0,-80.0,4,189.11479310344828
15.0,-75.0,4,186.2098275862069
15.0,-70.0,4,195.91010344827586
15.0,-65.0,4,195.37506896551722
15.0,-60.0,4,196.83310344827586
15.0,-55.0,4,194.81568965517243
15.0,-50.0,4,193.40737037037036
15.0,-45.0,4,206.64986206896555
15.0,-40.0,4,206.47824137931033
15.0,-35.0,4,180.3138620689655
15.0,-30.0,4,173.62458620689657
15.0,-25.0,4,163.28758620689655
15.0,-20.0,4,98.57482758620688
20.0,-95.0,4,185.77610344827585
20.0,-90.0,4,187.57631034482753
20.0,-85.0,4,191.5327931034483
20.0,-80.0,4,190.87751724137925
20.0,-75.0,4,203.03900000000002
20.0,-70.0,4,207.46155172413793
20.0,-65.0,4,206.78565517241378
20.0,-60.0,4,207.1019655172414
20.0,-55.0,4,204.8811034482759
20.0,-50.0,4,209.41558620689653
20.0,-45.0,4,211.08800000000002
20.0,-40.0,4,212.2277931034483
20.0,-35.0,4,210.65548275862074
20.0,-30.0,4,202.9544137931034
20.0,-25.0,4,200.03513793103448
20.0,-20.0,4,182.26675862068961
25.0,-95.0,4,180.84037931034484
25.0,-90.0,4,181.42879310344827
25.0,-85.0,4,186.5386296296296
25.0,-80.0,4,206.32024137931037
25.0,-75.0,4,211.0917586206897
25.0,-70.0,4,215.52965517241378
25.0,-65.0,4,217.52124137931034
25.0,-60.0,4,206.81389655172413
25.0,-55.0,4,211.51155172413795
25.0,-50.0,4,218.63110344827584
25.0,-45.0,4,222.15165517241377
25.0,-40.0,4,223.81220689655177
25.0,-35.0,4,217.866
25.0,-30.0,4,225.48537931034483
25.0,-25.0,4,222.1158620689655
